Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-08-28 22:00:00;33229,010;28739,460;
2023-08-28 23:00:00;33230,400;28740,800;
2023-08-29 00:00:00;33231,780;28742,140;
2023-08-29 01:00:00;33233,160;28743,480;
2023-08-29 02:00:00;33234,510;28744,820;
2023-08-29 03:00:00;33235,890;28746,180;
2023-08-29 04:00:00;33237,290;28747,540;
2023-08-29 05:00:00;33238,640;28748,920;
2023-08-29 06:00:00;33239,980;28750,280;
2023-08-29 07:00:00;33241,560;28751,610;
2023-08-29 08:00:00;33243,260;28752,930;
2023-08-29 09:00:00;33244,920;28754,260;
2023-08-29 10:00:00;33246,780;28755,520;
2023-08-29 11:00:00;33248,200;28756,870;
2023-08-29 12:00:00;33249,700;28758,220;
2023-08-29 13:00:00;33251,130;28759,590;
2023-08-29 14:00:00;33252,540;28760,950;
2023-08-29 15:00:00;33253,980;28762,300;
2023-08-29 16:00:00;33255,350;28763,660;
2023-08-29 17:00:00;33256,750;28765,010;
2023-08-29 18:00:00;33258,120;28766,370;
2023-08-29 19:00:00;33259,560;28767,720;
2023-08-29 20:00:00;33260,960;28769,070;
2023-08-29 21:00:00;33262,540;28770,400;
2023-08-29 22:00:00;33264,050;28771,740;
2023-08-29 23:00:00;33265,530;28773,080;
2023-08-30 00:00:00;33267,010;28774,430;
2023-08-30 01:00:00;33268,430;28775,770;
2023-08-30 02:00:00;33269,790;28777,140;
2023-08-30 03:00:00;33271,150;28778,520;
2023-08-30 04:00:00;33272,550;28779,890;
2023-08-30 05:00:00;33273,900;28781,260;
2023-08-30 06:00:00;33275,270;28782,620;
2023-08-30 07:00:00;33276,720;28783,960;
2023-08-30 08:00:00;33278,410;28785,270;
2023-08-30 09:00:00;33280,280;28786,540;
2023-08-30 10:00:00;33282,110;28787,840;
2023-08-30 11:00:00;33283,640;28789,200;
2023-08-30 12:00:00;33285,090;28790,560;
2023-08-30 13:00:00;33286,460;28791,920;
2023-08-30 14:00:00;33287,950;28793,260;
2023-08-30 15:00:00;33289,310;28794,610;
2023-08-30 16:00:00;33290,200;28795,480;
2023-08-30 17:00:00;33290,220;28795,500;
2023-08-30 18:00:00;33290,270;28795,530;
2023-08-30 19:00:00;33290,320;28795,560;
2023-08-30 20:00:00;33290,550;28795,600;
2023-08-30 21:00:00;33290,580;28795,630;
2023-08-30 22:00:00;33290,660;28795,640;
2023-08-30 23:00:00;33290,920;28795,650;
